file,campo,tipo,descrizione,esempio
07_requisiti_evidenze.csv,requisito,testo,competenza richiesta dal bando o dal progetto,
07_requisiti_evidenze.csv,fonte_requisito,testo,da dove viene il requisito,
07_requisiti_evidenze.csv,evidenza,testo,prova concreta a supporto,
07_requisiti_evidenze.csv,stato,enum,lacuna | parziale | solida,parziale
08_domande_colloquio.csv,gruppo,testo,tema della domanda,Proprieta' intellettuale
08_domande_colloquio.csv,domanda,testo,il quesito,
08_domande_colloquio.csv,traccia_risposta,testo,ossatura della risposta,
09_fasi_progetto_proposta_kt.csv,fase_numero,intero 1-4,fase del progetto PR.I.S.MA.,2
09_fasi_progetto_proposta_kt.csv,fase_nome,testo,nome della fase,Mappatura e connessione con l'ecosistema
09_fasi_progetto_proposta_kt.csv,obiettivo,testo,obiettivo dell'azione,
09_fasi_progetto_proposta_kt.csv,tipo_conoscenza,enum,esplicita | tacita | implicita,tacita
09_fasi_progetto_proposta_kt.csv,azione,testo,cosa si fa concretamente,
09_fasi_progetto_proposta_kt.csv,metodo_kt,testo,metodo di trasferimento della conoscenza usato,shadowing
09_fasi_progetto_proposta_kt.csv,rischio,testo,cosa puo' andare storto,
09_fasi_progetto_proposta_kt.csv,mitigazione,testo,come si previene o si corregge,
09_fasi_progetto_proposta_kt.csv,indicatore_valutazione,testo,come si misura il successo,
09_fasi_progetto_proposta_kt.csv,orizzonte_temporale,testo,quando,mesi 3-6
10_libreria_sop.csv,id,testo,identificativo,sop-001
10_libreria_sop.csv,titolo_sop,testo,nome della procedura,
10_libreria_sop.csv,categoria,testo,area di processo,Scouting
10_libreria_sop.csv,conoscenza_tipo,enum,esplicita | tacita | implicita,esplicita
10_libreria_sop.csv,scopo,testo,perche' esiste questa SOP,
10_libreria_sop.csv,strumenti_necessari,testo,strumenti o sistemi richiesti,
10_libreria_sop.csv,sintesi_passaggi,testo,passaggi principali separati da >,
10_libreria_sop.csv,owner,testo,ruolo responsabile del mantenimento,KTM
10_libreria_sop.csv,stato,enum,bozza | attiva | in_revisione | archiviata,bozza
10_libreria_sop.csv,versione,testo,numero di versione,0.1
10_libreria_sop.csv,frequenza_revisione,testo,cadenza di riesame consigliata,trimestrale
10_libreria_sop.csv,ultimo_aggiornamento,data,ultima modifica,2026-09-09
11_commissione.csv,nome,testo,nome del commissario,
11_commissione.csv,ruolo,testo,ruolo nella commissione,
11_commissione.csv,qualifica,testo,posizione istituzionale,
12_checklist_kt.csv,id,testo,identificativo,k01
12_checklist_kt.csv,domanda_checklist,testo,item della checklist,
12_checklist_kt.csv,categoria,testo,fase del ciclo KT,Cattura
12_checklist_kt.csv,fase_collegata,intero 1-4 o vuoto,fase del progetto a cui si applica,2
12_checklist_kt.csv,stato,enum,da_fare | in_corso | fatto,da_fare
13_confronto_strumenti_km.csv,strumento,testo,nome del software,Notion
13_confronto_strumenti_km.csv,adatto_a,testo,caso d'uso principale,wiki interni e SOP personalizzabili
13_confronto_strumenti_km.csv,punti_forza,testo,perche' sceglierlo,
13_confronto_strumenti_km.csv,piano_gratuito,enum,si | parziale | no,si
13_confronto_strumenti_km.csv,adatto_per_libreria_sop,enum,alto | medio | basso,alto
13_confronto_strumenti_km.csv,note,testo,osservazioni,i CSV di questo pacchetto sono importabili come database Notion
14_dipartimenti_aree_scouting.csv,area,testo,area disciplinare indicata dal bando come meno attiva,fisica
14_dipartimenti_aree_scouting.csv,dipartimenti_indicativi,testo,dipartimenti UniTo plausibilmente coinvolti,
14_dipartimenti_aree_scouting.csv,tipo_valorizzazione_prevalente,testo,via di valorizzazione piu' probabile,brevetto
14_dipartimenti_aree_scouting.csv,note,testo,osservazioni,
