id,origine_id,destinazione_id,tipo_connessione,stato,priorita,motivazione,fonte
c032,unito-attc,kuleuven-lrd,potenziale_collaborazione,ipotizzata,bassa,nessun legame diretto; utile come benchmark di metodo data la maturita' storica dell'ufficio belga,ragionamento del compilatore
c033,unito-attc,iit,potenziale_collaborazione,ipotizzata,bassa,nessun legame diretto verificato; potenziale scambio di pratiche su spin-off tecnologici,ragionamento del compilatore
c034,unito-attc,netval,membro_di,esistente,,UniTo e' tra le universita' aderenti a Netval secondo le fonti pubbliche del network,ricerca web
c035,unito-dip-scouting,bioindustry,potenziale_collaborazione,lacuna,media,il parco e' specializzato in scienze della vita affine al SSD del componente di commissione Catucci; nessuna convenzione diretta verificata con la Sezione PI,ragionamento del compilatore
c036,unito-attc,astp,potenziale_collaborazione,ipotizzata,media,la formazione ASTP e' uno standard europeo per i professionisti TT; utile per la Fase 1 di inserimento e formazione del nuovo KTM,ragionamento del compilatore
c037,unito-attc,ip-helpdesk-ue,potenziale_collaborazione,ipotizzata,bassa,servizio gratuito rivolto a PMI e beneficiari di fondi UE potenzialmente utile per i contatti con le imprese della Fase 3,ragionamento del compilatore
c038,astp,iam4re-project,collabora_con,esistente,,ASTP e' partner del consorzio Horizon Europe IAM4RE,deliverable D2.1
c039,astp,rmroadmap-project,collabora_con,esistente,,ASTP e' uno degli otto partner del progetto RM Roadmap,overarching roadmap RM Roadmap
c040,unito-vipe,revalorise-plus,potenziale_collaborazione,ipotizzata,media,programma di formazione SSH europeo non ancora esplorato da UniTo allineato al vuoto confermato dalla ricerca IAM4RE,ragionamento del compilatore
c041,unito-attc,grenoble-alpes,potenziale_collaborazione,ipotizzata,bassa,entrambi poli europei di deep tech nella mappa Dealroom; nessuno scambio diretto verificato; utile come benchmark di metodo per il rapporto spin-off accademici su startup totali,ragionamento del compilatore
c042,unito-attc,tum-munich,potenziale_collaborazione,ipotizzata,bassa,TUM tra i primi cinque atenei europei per valore spin-off; nessun legame diretto verificato; benchmark su modelli di incubazione come UnternehmerTUM,ragionamento del compilatore
c043,unito-attc,vienna-spinoff-project,potenziale_collaborazione,ipotizzata,media,il modello di coordinamento multi-istituzionale viennese tra sette enti e' un caso di studio diretto per come UniTo potrebbe coordinarsi con Politecnico di Torino e 2i3T,ragionamento del compilatore
c044,polito,grenoble-alpes,potenziale_collaborazione,ipotizzata,bassa,poli confinanti nell'arco alpino non risulta una collaborazione strutturata verificata,ragionamento del compilatore
c045,netval,revalorise-hackresearch,collabora_con,ipotizzata,alta,nessun collegamento diretto verificato tra Netval e REVALORISE+; entrambi affrontano il vuoto SSH e sarebbe naturale un raccordo,ragionamento del compilatore
c046,unito-attc,netval-formazione-ssh,potenziale_collaborazione,lacuna,alta,corso gia' esistente e mai utilizzato da UniTo per formare sullo scouting nelle discipline umanistiche,ragionamento del compilatore
c047,unito-attc,netval-formazione-lifesci,potenziale_collaborazione,lacuna,alta,formazione specialistica gia' disponibile su esattamente la sfida che UniTo ha segnalato nel secondo bando UTT,ragionamento del compilatore
c048,human-technopole,netval-formazione-lifesci,collabora_con,esistente,,organizzatore del corso Technology Transfer for beginners insieme a Netval e IUSS Pavia,ricerca web
