id,termine,termine_en,acronimo_esteso,area,definizione_breve,esempio_applicato,termini_correlati,fonte_id
pct,Trattato di cooperazione in materia di brevetti (PCT),Patent Cooperation Treaty,PCT = Patent Cooperation Treaty,processo_TT,domanda internazionale che centralizza il primo passaggio verso piu' Paesi con pubblicazione a 18 mesi e ingresso nelle fasi nazionali a 30 mesi dalla priorita',un'invenzione UniTo depositata in Italia estesa via PCT entro l'anno di priorita',brevetto-europeo,
brevetto-europeo,Brevetto europeo (EPC),European patent,EPC = European Patent Convention,processo_TT,titolo concesso centralmente dall'EPO poi validato Paese per Paese entro tre mesi dalla concessione,estensione europea di un brevetto UniTo dopo il deposito italiano,brevetto-unitario;pct,
brevetto-unitario,Brevetto unitario,Unitary patent,,processo_TT,titolo unico valido negli Stati UE partecipanti in vigore dal 1 giugno 2023 con una sola tassa di rinnovo e giurisdizione del Tribunale Unificato,alternativa alla validazione Paese per Paese per un brevetto europeo,brevetto-europeo;opt-out,
trl,Livello di maturita' tecnologica (TRL),Technology Readiness Level,TRL = Technology Readiness Level,metriche,scala da 1 a 9 che misura la maturita' di una tecnologia dal principio di base al sistema provato in ambiente operativo,un brevetto universitario e' spesso a TRL 3-4 e necessita di un PoC per salire,poc;pov,
poc,Proof of Concept (PoC),Proof of Concept,PoC = Proof of Concept,policy_IT,programma che finanzia attivita' per alzare il TRL di un brevetto avvicinandolo al mercato,bando PoC Instrument di UniTo finanziato da Compagnia di San Paolo tramite ISPIC,trl;pov,
pov,Proof of Value (PoV),Proof of Value,PoV = Proof of Value,policy_IT,programma affine al PoC orientato a risultati non brevettuali per rispondere a esigenze sociali o culturali emergenti,bando PoV UniTo per progetti nelle scienze umane e sociali,poc,
accordo-quadro,Accordo Quadro,Framework agreement,,processo_TT,contratto generale che regola nel tempo la collaborazione tra un'universita' e un'impresa entro cui si aprono singoli progetti,,nda;mta,
nda,Accordo di riservatezza (NDA),Non-Disclosure Agreement,NDA = Non-Disclosure Agreement,processo_TT,contratto che vincola le parti a non divulgare informazioni scambiate prima di una collaborazione,firmato prima di mostrare una tecnologia non ancora depositata a un'azienda interessata,mta;accordo-quadro,
mta,Accordo di trasferimento materiali (MTA),Material Transfer Agreement,MTA = Material Transfer Agreement,processo_TT,contratto che regola il trasferimento di materiali fisici o biologici tra due enti per finalita' di ricerca,trasferimento di un campione biologico tra un laboratorio DBIOS e un partner esterno,nda,
background-ip,Background IP,Background IP,IP = Intellectual Property,processo_TT,conoscenza o proprieta' intellettuale che una parte possiede gia' prima dell'inizio di una collaborazione,,foreground-ip,
foreground-ip,Foreground IP,Foreground IP,IP = Intellectual Property,processo_TT,risultati e proprieta' intellettuale generati durante l'esecuzione di un progetto di collaborazione,,background-ip,
invention-disclosure,Comunicazione di invenzione,Invention disclosure,,processo_TT,atto formale con cui un ricercatore comunica all'ufficio competente di aver conseguito un'invenzione avviando l'iter di valutazione,modulo Allegato a del Regolamento Brevetti UniTo,brevetto,src-reg-brevetti-2024
open-innovation,Open innovation,Open innovation,,processo_TT,modello in cui un'organizzazione scambia idee e tecnologie con l'esterno anziche' innovare solo al proprio interno,bacheca Open Innovation Wall di Knowledge Share dove le imprese pubblicano le proprie esigenze,knowledge-share-concetto,
terza-missione,Terza missione,Third mission,,policy_IT,insieme delle attivita' con cui l'universita' genera impatto economico e sociale oltre a ricerca e didattica,art. 5 dello Statuto di UniTo sul trasferimento della conoscenza,valorizzazione-conoscenza,src-statuto-2012
valorizzazione-conoscenza,Valorizzazione della conoscenza,Knowledge valorisation,,policy_UE,principio guida della Raccomandazione UE 2022/2415 che estende la valorizzazione a tutti i risultati della ricerca non solo ai brevetti,rilevante per lo scouting nelle scienze umane e sociali richiesto dal bando,terza-missione;standardizzazione,src-racc-2022
s3-piemonte,S3 Regione Piemonte,Smart Specialisation Strategy,S3 = Smart Specialisation Strategy,policy_regionale,strategia di specializzazione intelligente 2021-2027 condizione abilitante per l'uso dei fondi europei,il bando chiede di allineare le attivita' dell'ufficio alla S3 regionale,horizon-europe-concetto,
netval-concetto,Netval,Netval (Italian TTO network),,policy_IT,rete nazionale degli uffici di trasferimento tecnologico che coordina la survey annuale e la formazione; esempio italiano di KEA,,knowledge-share-concetto;kea-associazioni,
knowledge-share-concetto,Knowledge Share,Knowledge Share,,policy_IT,piattaforma nazionale che pubblica le schede tecnologiche non confidenziali dei brevetti accademici italiani,UniTo e' gia' presente con proprie schede,open-innovation,
datiutt,DatiUTT,DatiUTT (Italian TTO data platform),,metriche,rilevazione annuale degli indicatori di trasferimento tecnologico raccolta dagli uffici e confluita nel rapporto Netval; implementata significativamente nel 2024,comunicazioni di invenzione domande brevetti licenze spin-off addetti,netval-concetto;ktt-metrics-cube,
royalty,Royalty,Royalty,,processo_TT,pagamento periodico dovuto dal licenziatario al titolare di un brevetto in proporzione allo sfruttamento economico,uno spin-off che usa un brevetto UniTo paga royalties ragionevoli all'Ateneo,licenza,src-reg-brevetti-2024
licenza,Licenza,License,,processo_TT,contratto con cui il titolare di un brevetto concede a terzi il diritto di sfruttarlo in cambio di un corrispettivo,puo' essere esclusiva o non esclusiva,royalty;cessione,
cessione,Cessione,Assignment,,processo_TT,trasferimento definitivo della titolarita' di un brevetto a un altro soggetto,cessione di un brevetto a uno spin-off deliberata dal Consiglio di Amministrazione,licenza,src-reg-brevetti-2024
conto-terzi,Contratto conto terzi,Third-party contract research,,processo_TT,contratto per attivita' ordinarie e routinarie che non comporta cessione di diritti di proprieta' intellettuale,analisi test o misurazioni eseguite per un'azienda,accordo-quadro,src-reg-brevetti-2024
industria-5,Industria 5.0 / Transizione 5.0,Industry 5.0,,policy_IT,incentivo italiano che collega innovazione a efficienza energetica e sostenibilita' con centralita' della persona,leva per progetti congiunti tra UniTo e PMI,horizon-europe-concetto,
horizon-europe-concetto,Horizon Europe,Horizon Europe,,policy_UE,programma quadro europeo per la ricerca e l'innovazione articolato in tre pilastri con regole proprie su titolarita' e disseminazione dei risultati,,eic,
eic,Consiglio Europeo per l'Innovazione (EIC),European Innovation Council,EIC = European Innovation Council,policy_UE,strumento di Horizon Europe che finanzia innovazione dal principio Pathfinder fino allo scale-up Accelerator,,horizon-europe-concetto,
opensci-concetto,Accesso aperto (Open Access),Open Access,,policy_UE,principio per cui i risultati della ricerca finanziata devono essere resi liberamente accessibili nel rispetto della proprieta' intellettuale,IRIS AperTO come archivio istituzionale UniTo,terza-missione,src-statuto-2012
spin-off,Spin-off,Spin-off,,IP,impresa creata con un accordo formale per sviluppare o sfruttare la proprieta' intellettuale di un ente di ricerca inclusi ma non limitati agli spin-off fondati dal personale,uno spin-off DBIOS che sviluppa commercialmente un brevetto UniTo su un biosensore,start-up;licenza,src-astp-executive-data-fy2022
start-up,Start-up accademica,Academic start-up,,IP,azienda neocostituita fondata da studenti o dipendenti di un ente di ricerca ma non direttamente coinvolta nello sfruttamento della proprieta' intellettuale generata al suo interno,un dottorando che fonda un'azienda di consulenza senza licenza su un brevetto UniTo,spin-off,src-astp-executive-data-fy2022
ktt-metrics-cube,Cubo delle metriche KTT,KTT Metrics Cube,KTT = Knowledge and Technology Transfer,metriche,framework che colloca ogni indicatore di trasferimento tecnologico su tre assi input output impatto e interno esterno piu' i canali di trasferimento,notare che impatto e input esterni restano quasi mai misurati rispetto all'output,datiutt;netval-concetto,src-astp-whitepaper-ktt
opt-out,Opt-out dal Tribunale Unificato dei Brevetti,Opt-out (Unified Patent Court),UPC = Unified Patent Court,processo_TT,procedura amministrativa gratuita con cui il titolare di un brevetto europeo esclude il proprio titolo dalla giurisdizione del Tribunale Unificato per un periodo transitorio di sette anni prorogabile,un brevetto UniTo in licenza a uno spin off per cui si valuta l'opt-out per limitare il rischio di nullita' estesa,brevetto-unitario,src-netval-wp1-2023-unitario
standardizzazione,Standardizzazione come canale di valorizzazione,Standardisation as a valorisation channel,,policy_UE,partecipazione o allineamento a standard tecnici di consenso come via di valorizzazione distinta dal brevetto e in tensione con esso se la divulgazione e' prematura,un progetto Horizon Europe che richiede un collegamento con un comitato di standardizzazione settoriale,valorizzazione-conoscenza,src-astp-standardisation-2025
research-management,Research management e RM COMP,Research management and RM Comp,RM COMP = European Competence Framework for Research Managers,policy_UE,la professione piu' ampia in cui rientra il trasferimento tecnologico comprendente anche gestione dei finanziamenti conformita' e supporto alla progettazione; RM COMP e' il framework di competenze condiviso proposto a livello europeo dalla Commissione con 7 aree 50 competenze e 800 risultati di apprendimento,il ruolo KTM come una delle figure specialistiche del research management,terza-missione,src-rmroadmap-overarching-2025
kea-associazioni,Associazione di scambio di conoscenza (KEA),Knowledge Exchange Association,KEA = Knowledge Exchange Association,policy_IT,rete professionale come Netval che aiuta gli uffici di trasferimento tecnologico a costruire legittimita' interna ed esterna e ad apprendere da pratiche altrui evolvendo da aggregazione a consolidamento e impatto,Netval come KEA italiana nata nel 2001,netval-concetto,src-technovation-netval-2026
