id,nome,livello,tipo,sotto_area,descrizione_ruolo,sito_web,email_contatto,contatto_tipo,citta_regione,stato_verifica,fonte,note
bioindustry,Bioindustry Park Silvano Fumero,locale,parco,scienze della vita,Parco scientifico e tecnologico per le scienze della vita. Potenziale interlocutore per l'area DBIOS.,https://www.bioindustrypark.eu,,da_raccogliere,Colleretto Giacosa TO,verificato,ricerca web,
cim40,CIM 4.0,locale,ecosistema,manifattura digitale,Competence Center su manifattura additiva e digitale.,https://www.cim40.com,,da_raccogliere,Torino,verificato,ricerca web,
regione-s3,Regione Piemonte - S3,locale,pa,policy regionale,Strategia di specializzazione intelligente 2021-2027. Il bando chiede espressamente l'allineamento.,https://www.regione.piemonte.it,,da_raccogliere,Piemonte,verificato,DGR 43-4315 del 10/12/2021,condizione abilitante per fondi FESR/FSE+
finpiemonte,Finpiemonte,locale,pa,finanza regionale,Strumenti finanziari regionali per l'innovazione.,https://www.finpiemonte.it,,da_raccogliere,Torino,verificato,ricerca web,
csi-piemonte,CSI Piemonte,locale,pa,digitalizzazione pubblica,Consorzio in-house della Regione Piemonte per i servizi digitali pubblici.,https://www.csipiemonte.it,,da_raccogliere,Torino,da_verificare,conoscenza generale non verificata in questa sessione,connessione con UniTo da verificare specificamente
camcom-torino,Camera di commercio di Torino,locale,pa,imprese e PI,Sportello di proprieta' intellettuale per le imprese. Canale naturale verso le PMI.,https://www.to.camcom.it,,da_raccogliere,Torino,verificato,ricerca web,
ui-torino,Unione Industriali Torino,locale,impresa,rappresentanza industriale,Accesso strutturato al tessuto industriale torinese.,https://www.ui.torino.it,,da_raccogliere,Torino,verificato,ricerca web,
compagnia-sanpaolo,Fondazione Compagnia di San Paolo,locale,fondazione,finanziamento ricerca e cultura,Finanzia direttamente i bandi PoC Instrument e PoV di UniTo tramite ISPIC. Accordo 2025-2026 con l'Ateneo. Missione dedicata Valorizzare la ricerca.,https://www.compagniadisanpaolo.it,,da_raccogliere,Torino,verificato,pagine ufficiali bandi PoC/PoV UniTo e Compagnia San Paolo,partner gia' attivo non ipotetico
ispic,Intesa Sanpaolo Innovation Center ISPIC,locale,impresa,valorizzazione commerciale IP,Societa' del gruppo Intesa Sanpaolo che esegue il bando PoC Instrument insieme a 2i3T e I3P.,,,,Torino,verificato,bando PoC Instrument 2026,
fondazione-crt,Fondazione CRT,locale,fondazione,finanziamento ricerca,Fondazione bancaria piemontese attiva nel finanziamento della ricerca universitaria. Confermata per il Politecnico; da verificare specificamente per UniTo.,https://www.fondazionecrt.it,,da_raccogliere,Torino,da_verificare,confermato solo per Politecnico in fonte trovata,
museo-egizio,Museo Egizio,locale,patrimonio_culturale,valorizzazione SSH,Istituzione culturale torinese di rilievo internazionale. Potenziale interlocutore per la valorizzazione non brevettuale nelle aree umanistiche.,https://museoegizio.it,,da_raccogliere,Torino,verificato,esistenza istituzione nota; nessuna connessione con Sezione PI verificata,connessione con il progetto da esplorare non confermata
its-piemonte,ITS Academy Piemonte,locale,pa,formazione tecnica,Istituti Tecnici Superiori regionali. Possibile canale di formazione e placement collegato alla terza missione.,,,,Piemonte,da_verificare,conoscenza generale non verificata in questa sessione,
mimit-uibm,MIMIT - Ufficio Italiano Brevetti e Marchi,nazionale,pa,IP nazionale,Finanzia il progetto PR.I.S.MA. tramite il bando UTT 2025-2027. Ufficio di deposito dei titoli di PI.,https://www.mimit.gov.it,,da_raccogliere,Roma,verificato,bando MIMIT UTT 2025-2027,
mur,MUR - Ministero dell'Universita' e della Ricerca,nazionale,pa,ricerca nazionale,Co-firmatario delle linee guida sui rapporti contrattuali di ricerca ex L.102/2023. Gestisce Ecosistemi dell'Innovazione PNRR.,https://www.mur.gov.it,,da_raccogliere,Roma,verificato,Regolamento Brevetti UniTo cita linee guida MIMIT-MUR 26/9/2023,
netval,Netval,nazionale,rete,rete UTT,Rete nazionale degli uffici di trasferimento tecnologico. Survey annuale e formazione.,https://www.netval.it,,da_raccogliere,Italia,verificato,ricerca web,
knowledge-share,Knowledge Share,nazionale,piattaforma,vetrina brevetti,Vetrina nazionale dei brevetti accademici nata da MIMIT-UIBM Netval e Politecnico di Torino.,https://www.knowledge-share.eu,,da_raccogliere,Italia,verificato,sito UniTo pagina brevetti,UniTo gia' presente con schede descrittive
invitalia,Invitalia,nazionale,pa,gestione bandi,Gestisce diversi strumenti UIBM tra cui Brevetti+ Voucher 3I e il bando PoC nazionale.,https://www.invitalia.it,,da_raccogliere,Roma,verificato,ricerca web,
crui,CRUI,nazionale,rete,rappresentanza atenei,Conferenza dei Rettori delle Universita' Italiane. Coinvolta nelle politiche di terza missione.,https://www.crui.it,,da_raccogliere,Roma,da_verificare,conoscenza generale non verificata in questa sessione,
anvur,ANVUR,nazionale,pa,valutazione ricerca,Agenzia nazionale di valutazione del sistema universitario e della ricerca.,https://www.anvur.it,,da_raccogliere,Roma,da_verificare,conoscenza generale non verificata in questa sessione,
cnr,CNR,nazionale,ricerca,ricerca pubblica,Consiglio Nazionale delle Ricerche. Ente pubblico di ricerca con propri uffici di trasferimento tecnologico; potenziale termine di confronto.,https://www.cnr.it,,da_raccogliere,Roma,da_verificare,conoscenza generale non verificata in questa sessione,connessione diretta con PR.I.S.MA. non verificata
iit,Istituto Italiano di Tecnologia IIT,nazionale,ricerca,tecnologia,Fondazione di ricerca nota per attivita' di trasferimento tecnologico e spin-off. Sede principale Genova.,https://iit.it,,da_raccogliere,Genova,da_verificare,conoscenza generale non verificata in questa sessione,potenziale benchmark non collegamento diretto
epo,EPO Ufficio Europeo dei Brevetti,internazionale,ufficio,brevetti,Rilascia il brevetto europeo e unitario. Svolge la ricerca di anteriorita' per conto dell'UIBM.,https://www.epo.org,,da_raccogliere,Monaco di Baviera,verificato,ricerca web,
wipo,WIPO,internazionale,ufficio,brevetti,Organizzazione mondiale della proprieta' intellettuale. Gestisce la domanda internazionale PCT.,https://www.wipo.int,,da_raccogliere,Ginevra,verificato,ricerca web,
euipo,EUIPO,internazionale,ufficio,marchi e disegni,Ufficio dell'Unione Europea per la proprieta' intellettuale su marchi e disegni.,https://www.euipo.europa.eu,,da_raccogliere,Alicante,verificato,ricerca web,
ip-helpdesk-ue,European IP Helpdesk,internazionale,piattaforma,supporto IP a PMI,Servizio gratuito della Commissione Europea di supporto in materia di PI per PMI e partecipanti a progetti UE finanziati anche tramite Enterprise Europe Network.,https://intellectual-property-helpdesk.ec.europa.eu,,da_raccogliere,Bruxelles,verificato,ricerca web,
comm-valorizzazione,Commissione Europea - Valorizzazione della Conoscenza,internazionale,pa,policy UE,Raccomandazione del 2022 e codici di condotta sulla gestione degli asset intellettuali.,https://research-and-innovation.ec.europa.eu,,da_raccogliere,Bruxelles,verificato,ricerca web,
horizon-europe,Horizon Europe,internazionale,programma,finanziamento ricerca UE,Programma quadro europeo. Regole su titolarita' dei risultati disseminazione e valorizzazione.,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en,,da_raccogliere,Bruxelles,verificato,ricerca web,
astp,ASTP,internazionale,rete,formazione TT,Associazione europea dei professionisti del trasferimento tecnologico. Formazione e certificazione.,https://astp4knowledge.eu,,da_raccogliere,Europa,verificato,ricerca web,
een,Enterprise Europe Network,internazionale,rete,supporto PMI,Rete europea di matchmaking per le piccole e medie imprese. Collabora con lo European IP Helpdesk.,https://een.ec.europa.eu,,da_raccogliere,Europa,verificato,ricerca web,
unita-alliance,UNITA Universitas Montium,internazionale,rete,alleanza universitaria europea,Alleanza di universita' europee di cui UniTo e' membro. Citata nel menu Internazionalita' del sito UniTo.,https://univ-unita.eu,,da_raccogliere,Europa,verificato,menu ufficiale sito unito.it sezione Internazionalita',possibile canale per collaborazioni TT internazionali non ancora esplorato per la PI
kuleuven-lrd,KU Leuven Research and Development LRD,internazionale,ricerca,benchmark TT,Ufficio di trasferimento tecnologico tra i piu' storici d'Europa fondato nel 1972 piu' volte ai vertici del ranking Reuters delle universita' piu' innovative d'Europa. Nessun legame diretto con UniTo verificato: utile come benchmark di metodo.,https://lrd.kuleuven.be,,da_raccogliere,Lovanio,verificato,ricerca web,ranking Reuters non piu' pubblicato dopo il 2019
eit-kics,EIT Knowledge and Innovation Communities,internazionale,programma,innovazione settoriale,Comunita' della conoscenza e dell'innovazione dell'Istituto Europeo di Innovazione e Tecnologia in settori come salute e manifattura.,https://eit.europa.eu,,da_raccogliere,Europa,da_verificare,esistenza nota; nessun legame con UniTo verificato in questa sessione,
iam4re-project,IAM4RE.eu,internazionale,programma,valorizzazione SSH,Progetto Horizon Europe su gestione degli asset intellettuali per ricerca e imprenditorialita'; identifica la valorizzazione nelle scienze umane e sociali come punto cieco formativo europeo. ASTP tra i partner.,https://www.iam4re.eu,,da_raccogliere,,verificato,deliverable D2.1 letto integralmente,
rmroadmap-project,RM Roadmap,internazionale,programma,professionalizzazione research management,Progetto Horizon Europe per la professionalizzazione del research management in Europa tramite il framework di competenze RM COMP. ASTP tra gli otto partner del consorzio.,https://www.rmroadmap.eu,,da_raccogliere,,verificato,overarching roadmap letto integralmente,
revalorise-plus,REVALORISE+,internazionale,programma,formazione valorizzazione SSH,Programma di formazione europeo sulla valorizzazione della ricerca specificamente rivolto a ricercatori delle scienze umane e sociali e al personale di supporto.,,,,,da_verificare,citato come fonte nel deliverable IAM4RE D2.1 non verificato direttamente,
grenoble-alpes,Grenoble Alpes (polo deep tech),internazionale,ecosistema,deep tech industriale,Definita capitale francese del deeptech da BPI France; 37% degli startup/scaleup locali sono spin-off accademici; laboratori chiave UGA CNRS CEA INRIA INSERM; 7a al mondo per hub deeptech relativo alla popolazione.,https://www.investingrenoblealpes.com,,da_raccogliere,Grenoble Francia,verificato,ricerca web Global Tech Ecosystem Index 2025 e Invest in Grenoble Alpes,indicata insieme a Torino nella mappa Dealroom dei poli europei deep tech/life science
lyon-ecosistema,Lione (polo deep tech),internazionale,ecosistema,deep tech,Citta' della regione Auvergne-Rhone-Alpes con presenza in eventi ed ecosistemi deeptech regionali come SIDO Lyon affine al polo di Grenoble.,,,,Lione Francia,da_verificare,ricerca web con dettaglio limitato,indicata insieme a Torino nella mappa Dealroom dei poli europei deep tech/life science
tum-munich,Technical University of Munich TUM,internazionale,ateneo,deep tech industriale,Ateneo tra i primi cinque in Europa per valore creato dagli spin-off deep tech; incubatore UnternehmerTUM e programma XPRENEURS; Germania sostiene i founder accademici con il programma pubblico EXIST.,https://www.tum.de,,da_raccogliere,Monaco di Baviera Germania,verificato,ricerca web European Spinouts Report 2025 e fonti settoriali,Monaco indicata insieme a Torino nella mappa Dealroom
vienna-spinoff-project,Vienna Spin-Off Project / Academic Spin-out Alliance,internazionale,rete,coordinamento spin-off,Iniziativa collaborativa lanciata a giugno 2025 da AIT BOKU MedUni Wien TU Wien Universita' di Vienna WU Vienna e Vienna Business Agency per ridurre la frammentazione dell'ecosistema spin-off viennese; poi evoluta in Academic Spin-out Alliance.,,,,Vienna Austria,verificato,ricerca web Konsultori luglio 2026,Vienna indicata insieme a Torino nella mappa Dealroom; caso di coordinamento multi-istituzionale rilevante come modello
alpine-tech-cluster,Alpine Tech Cluster,internazionale,ecosistema,deep tech industriale,Super-cluster europeo deep tech che riunisce Zurigo Losanna Grenoble Monaco Milano e Vienna con oltre 1100 startup e il 13% del totale VC-backed europeo secondo il report 2026 Deep Tech Nation Switzerland. Torino non risulta nominata in questo specifico cluster nonostante compaia nella mappa Dealroom dei singoli poli.,,,,,verificato,ricerca web 2026 European Deep Tech Report,nota di onesta': Torino appare come polo singolo Dealroom ma non nel super-cluster Alpine Tech Cluster
revalorise-hackresearch,HackTheResearch Valorisation Training Programme,internazionale,programma,formazione SSH,Programma REVALORISE+ guidato da UIIN: dieci moduli gratuiti per ricercatori SSH; formato blended di tre mesi; Personal Valorisation Projects individuali; due certificazioni (Valorisation Professional e SSH Valorisation Champion). Cinque mappe pilota delle risorse SSH gia' realizzate in Europa.,https://revalorise.eu,,da_raccogliere,,verificato,ricerca web sito ufficiale revalorise.eu,modello diretto per la Fase 2 del progetto
netval-formazione-ssh,Corso Netval-UNIMC Imprenditorialita' accademica nelle discipline umanistiche,nazionale,programma,formazione SSH,Corso tenuto da Andrea Piccaluga (Scuola Superiore Sant'Anna) presso l'Universita' di Macerata; affronta esplicitamente l'imprenditorialita' dalle scienze umane.,,,,,verificato,ricerca web Netval/UNIMC,caso italiano diretto sul vuoto SSH
netval-formazione-lifesci,Formazione Netval su Technology Transfer in Life Sciences,nazionale,programma,formazione life science,Training intensivo di quattro giorni Netval dedicato al trasferimento tecnologico nelle scienze della vita; corso affine con Human Technopole e IUSS Pavia Technology Transfer for beginners.,,,,,verificato,ricerca web Netval,risposta diretta alla sfida life science segnalata da UniTo
human-technopole,Human Technopole,nazionale,ricerca,scienze della vita,Istituto di ricerca italiano in scienze della vita; organizza formazione su trasferimento tecnologico in collaborazione con Netval e IUSS Pavia.,,,,Milano,verificato,ricerca web,
